Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Doug Jones ,Sen,3-Jan-18,sendougjones,sendougjones,sendougjones,sendougjones,
Richard Shelby ,Sen,3-Jan-87,SenShelby,SenShelby,SenShelby,SenShelby,
Dan Sullivan ,Sen,3-Jan-15,SenDanSullivan,SenDanSullivan,SenDanSullivan,SenDanSullivan,
Lisa Murkowski ,Sen,20-Dec-02,LisaMurkowski,LisaMurkowski,LisaMurkowski,LisaMurkowski,
Kyrsten Sinema ,Sen,3-Jan-19,SenatorSinema,SenatorSinema,SenatorSinema,SenatorSinema,
Martha McSally ,Sen,3-Jan-19,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,
Tom Cotton ,Sen,3-Jan-15,SenTomCotton,SenTomCotton,SenTomCotton,SenTomCotton,
John Boozman ,Sen,3-Jan-11,JohnBoozman,JohnBoozman,JohnBoozman,JohnBoozman,
Dianne Feinstein ,Sen,4-Nov-92,SenFeinstein,SenFeinstein,SenFeinstein,SenFeinstein,
Kamala Harris ,Sen,3-Jan-17,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,
Cory Gardner ,Sen,3-Jan-15,SenCoryGardner,SenCoryGardner,SenCoryGardner,SenCoryGardner,
Michael Bennet ,Sen,21-Jan-09,SenatorBennet,SenatorBennet,SenatorBennet,SenatorBennet,
Chris Murphy ,Sen,3-Jan-13,ChrisMurphyCT,ChrisMurphyCT,senmurphyoffice,senmurphyoffice,ChrisMurphyCT(CSPAN) senmurphyoffice(REST) 
Richard Blumenthal ,Sen,3-Jan-11,SenBlumenthal,SenBlumenthal,SenBlumenthal,SenBlumenthal,
Tom Carper ,Sen,3-Jan-01,SenatorCarper,SenatorCarper,SenatorCarper,SenatorCarper,
Chris Coons ,Sen,15-Nov-10,ChrisCoons,ChrisCoons,ChrisCoons,ChrisCoons,
Rick Scott ,Sen,8-Jan-19,SenRickScott,SenRickScott,,,(Name is present with no Twitter handle in Github)
Marco Rubio ,Sen,3-Jan-11,marcorubio,marcorubio,SenRubioPress,SenRubioPress,marcorubio(CSPAN) SenRubioPress(REST)
David Perdue ,Sen,3-Jan-15,sendavidperdue,sendavidperdue,sendavidperdue,sendavidperdue,
Johnny Isakson ,Sen,3-Jan-05,SenatorIsakson,SenatorIsakson,SenatorIsakson,SenatorIsakson,
Mazie Hirono ,Sen,3-Jan-13,MazieHirono,MazieHirono,MazieHirono,MazieHirono,
Brian Schatz ,Sen,26-Dec-12,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,
Jim Risch ,Sen,3-Jan-09,SenatorRisch,SenatorRisch,SenatorRisch,SenatorRisch,
